uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
0.15246,,0.00008,0.00096,-0.00086,0.00127,-0.00180,-0.00657,-0.00055,0.00051,0.00108,0.00002,0.00016,0.00009,-0.00161,-0.00015,-0.00022,-0.00004,-0.00011,-0.00007,0.25735,0.73281,-0.23514,0.08485,-0.87172,0.45048,-0.01759,1.56767,-0.14764,-0.03084,0.99916,-0.02673,-0.24373,0.75244,-0.23385,0.14829,0.89587,-0.38445
0.36125,,0.00026,0.00054,-0.00198,-0.00044,0.00002,0.00251,-0.00095,0.00051,0.00106,-0.00012,-0.00007,-0.00005,-0.00141,0.00096,-0.00291,0.00003,0.00007,-0.00014,0.25762,0.73335,-0.23712,0.08245,-0.87205,0.44939,-0.01854,1.56817,-0.14658,-0.03145,0.99920,-0.02465,-0.24513,0.75340,-0.23676,0.14900,0.89641,-0.38212
0.56980,,0.00038,0.00075,-0.00183,-0.00042,-0.00014,0.00029,-0.00097,0.00013,0.00021,0.00002,-0.00032,0.00024,-0.00087,-0.00039,-0.00146,0.00024,-0.00023,-0.00040,0.25799,0.73410,-0.23896,0.07949,-0.87437,0.44435,-0.01951,1.56831,-0.14637,-0.03156,0.99922,-0.02392,-0.24600,0.75300,-0.23822,0.14751,0.89473,-0.38715
0.77785,,0.00022,0.00151,-0.00290,-0.00268,0.00183,0.00356,-0.00070,0.00035,0.00000,0.00024,0.00001,-0.00008,0.00015,-0.00011,-0.00047,-0.00007,-0.00029,-0.00034,0.25821,0.73560,-0.24186,0.06938,-0.88157,0.43150,-0.02022,1.56866,-0.14637,-0.03222,0.99922,-0.02264,-0.24585,0.75289,-0.23870,0.14646,0.89525,-0.38797
0.98639,,0.00169,0.00304,-0.00334,-0.00169,0.00095,0.00395,-0.00048,-0.00012,-0.00035,-0.00015,-0.00008,0.00001,-0.00055,0.00067,-0.00219,-0.00102,0.00012,-0.00076,0.25990,0.73865,-0.24520,0.05664,-0.88470,0.42308,-0.02070,1.56855,-0.14672,-0.03219,0.99922,-0.02278,-0.24640,0.75356,-0.24089,0.14449,0.89750,-0.38378
1.19502,,-0.00093,0.00010,-0.00004,-0.00053,0.00002,-0.00038,-0.00100,0.00018,-0.00056,-0.00012,0.00017,-0.00008,-0.00070,0.00125,-0.00357,-0.00198,0.00006,0.00139,0.25897,0.73875,-0.24524,0.05462,-0.88614,0.41977,-0.02170,1.56872,-0.14727,-0.03261,0.99922,-0.02219,-0.24710,0.75481,-0.24445,0.15422,0.90113,-0.37042
1.40306,,-0.00135,0.00043,0.00081,0.00060,-0.00014,-0.00067,-0.00050,0.00042,-0.00015,0.00009,-0.00043,-0.00010,0.00081,0.00051,0.00017,0.00003,-0.00019,-0.00018,0.25762,0.73918,-0.24443,0.05615,-0.88542,0.42163,-0.02220,1.56915,-0.14743,-0.03266,0.99922,-0.02118,-0.24629,0.75532,-0.24428,0.15774,0.90083,-0.37117
1.61166,,-0.00133,0.00014,0.00054,-0.00001,0.00023,-0.00023,-0.00126,0.00033,-0.00070,0.00007,-0.00009,-0.00006,-0.00021,-0.00060,0.00063,-0.00020,0.00013,0.00030,0.25629,0.73932,-0.24388,0.05967,-0.88439,0.42432,-0.02346,1.56947,-0.14813,-0.03388,0.99920,-0.02047,-0.24649,0.75472,-0.24366,0.15158,0.90047,-0.37474
1.81987,,-0.00216,0.00049,0.00145,-0.00040,-0.00025,-0.00025,-0.00402,-0.00047,-0.00040,-0.00001,-0.00002,0.00048,-0.00324,-0.00362,0.00811,0.00776,-0.00095,0.00462,0.25413,0.73981,-0.24243,0.06584,-0.88333,0.42634,-0.02748,1.56900,-0.14852,-0.03183,0.99920,-0.02319,-0.24973,0.75110,-0.23555,0.15812,0.89291,-0.39079
2.02850,,-0.00498,0.00169,0.00445,0.00014,0.00015,-0.00066,-0.01028,0.00008,0.00205,0.00020,-0.00062,-0.00066,-0.00504,-0.00240,0.00497,0.00021,-0.00033,-0.00008,0.24916,0.74150,-0.23798,0.06905,-0.88359,0.42455,-0.03777,1.56908,-0.14648,-0.03628,0.99904,-0.02244,-0.25477,0.74870,-0.23058,0.15537,0.89359,-0.38961
2.23712,,-0.00265,0.00353,0.00541,-0.00022,-0.00016,0.00015,-0.01513,0.00006,0.00205,0.00045,-0.00043,-0.00029,-0.00566,0.00007,-0.00047,-0.00004,-0.00075,-0.00082,0.24651,0.74503,-0.23257,0.08322,-0.88181,0.42702,-0.05289,1.56914,-0.14443,-0.03802,0.99893,-0.02250,-0.26043,0.74878,-0.23105,0.14921,0.89550,-0.38886
2.44525,,-0.00697,0.00336,0.00693,-0.00022,-0.00104,0.00035,-0.02093,0.00016,-0.00053,0.00053,-0.00018,0.00034,-0.01564,-0.00012,0.00182,-0.00039,-0.00082,-0.00012,0.23954,0.74840,-0.22564,0.08688,-0.87772,0.42839,-0.07382,1.56930,-0.14497,-0.03842,0.99878,-0.02369,-0.27607,0.74866,-0.22923,0.14602,0.89681,-0.38906
2.65368,,-0.01541,0.00636,0.00596,0.00012,0.00041,-0.00057,-0.02300,-0.00212,-0.00281,0.00028,-0.00124,0.00007,-0.01958,0.00065,-0.00465,-0.00016,-0.00051,0.00059,0.22413,0.75476,-0.21968,0.07737,-0.87634,0.42151,-0.09683,1.56718,-0.14778,-0.03675,0.99823,-0.02894,-0.29565,0.74931,-0.23388,0.14165,0.89975,-0.38712
2.86206,,-0.01115,0.00170,0.00825,0.00057,-0.00073,0.00013,-0.01566,-0.00159,-0.00537,0.00039,-0.00067,0.00018,-0.01287,-0.00130,-0.00421,0.00006,-0.00057,-0.00028,0.21297,0.75646,-0.21143,0.08011,-0.87347,0.42442,-0.11248,1.56559,-0.15315,-0.03862,0.99730,-0.03960,-0.30852,0.74801,-0.23808,0.13870,0.90076,-0.38760
3.07029,,-0.00492,0.00331,0.00291,0.00026,0.00051,0.00114,-0.00710,-0.00111,-0.00551,0.00077,0.00015,-0.00017,-0.00403,-0.00242,0.00164,0.00121,-0.00060,-0.00060,0.20806,0.75977,-0.20852,0.09677,-0.87234,0.42491,-0.11958,1.56448,-0.15866,-0.03921,0.99674,-0.04720,-0.31256,0.74559,-0.23645,0.12925,0.89976,-0.39660
3.27885,,-0.00135,0.00450,-0.00834,-0.00025,0.00000,-0.00011,0.00314,0.00030,-0.00306,-0.00018,-0.00058,0.00069,-0.00129,0.00031,-0.00035,-0.00011,-0.00019,0.00046,0.20671,0.76427,-0.21686,0.09844,-0.87598,0.41815,-0.11644,1.56478,-0.16173,-0.03343,0.99647,-0.05162,-0.31385,0.74591,-0.23680,0.13105,0.89949,-0.39797
3.48733,,0.00213,0.00403,-0.00488,0.00000,0.00015,0.00021,0.00861,0.00047,0.00014,0.00031,0.00015,0.00025,-0.00110,0.00080,-0.00061,0.00002,0.00030,-0.00002,0.20884,0.76830,-0.22174,0.10083,-0.87962,0.41041,-0.10784,1.56525,-0.16159,-0.03153,0.99637,-0.05482,-0.31494,0.74671,-0.23741,0.13719,0.89865,-0.39733
3.69508,,0.01545,0.00360,-0.00213,0.00016,0.00011,0.00007,0.01942,0.00095,0.00241,0.00001,0.00017,0.00002,0.01215,-0.00033,0.00267,0.00002,0.00014,0.00021,0.22429,0.77189,-0.22387,0.09509,-0.88215,0.40639,-0.08842,1.56620,-0.15918,-0.03199,0.99634,-0.05497,-0.30280,0.74637,-0.23474,0.14261,0.89678,-0.39910
3.90430,,0.03444,-0.00078,-0.00124,-0.00141,0.00065,0.00026,0.03959,-0.00051,0.00557,-0.00021,0.00090,0.00012,0.03032,0.00160,0.00406,0.00009,0.00105,-0.00067,0.25873,0.77111,-0.22511,0.07816,-0.88646,0.40140,-0.04883,1.56569,-0.15361,-0.03256,0.99681,-0.05330,-0.27247,0.74797,-0.23067,0.14521,0.89601,-0.39742
4.11267,,0.04844,-0.00565,-0.00041,-0.00091,-0.00081,0.00299,0.06379,-0.00005,0.01200,-0.00041,0.00145,-0.00001,0.04238,0.00873,0.01404,0.00015,0.00162,-0.00410,0.30717,0.76545,-0.22552,0.08583,-0.88793,0.40470,0.01496,1.56563,-0.14161,-0.03354,0.99744,-0.05485,-0.23010,0.75671,-0.21664,0.13281,0.89092,-0.39464
4.32108,,0.03860,-0.02102,0.01416,0.00134,0.00256,-0.00170,0.05643,-0.00124,0.00873,-0.00027,0.00200,-0.00016,0.02775,0.01043,0.02783,0.00269,0.00669,-0.00647,0.34577,0.74444,-0.21137,0.09853,-0.88427,0.42407,0.07139,1.56440,-0.13288,-0.03026,0.99811,-0.05281,-0.20235,0.76714,-0.18880,0.11432,0.88580,-0.38711
