uptime,step,dPosLHX,dPosLHY,dPosLHZ,dRotLHX,dRotLHY,dRotLHZ,dPosHeadX,dPosHeadY,dPosHeadZ,dRotHeadX,dRotHeadY,dRotHeadZ,dPosRHX,dPosRHY,dPosRHZ,dRotRHX,dRotRHY,dRotRHZ,cPosLHX,cPosLHY,cPosLHZ,cRotLHX,cRotLHY,cRotLHZ,cPosHeadX,cPosHeadY,cPosHeadZ,cRotHeadX,cRotHeadY,cRotHeadZ,cPosRHX,cPosRHY,cPosRHZ,cRotRHX,cRotRHY,cRotRHZ
1.00035,0,0.00033,-0.00066,-0.00014,0.00191,-0.00037,0.00001,0.00098,-0.00009,0.00003,-0.00054,0.00044,0.00049,0.00054,0.00004,-0.00021,-0.00027,-0.00025,-0.00022,0.06034,0.81952,0.36826,0.09879,0.80272,-0.35643,-0.31600,1.59048,0.35231,-0.06450,0.98026,0.07599,-0.44903,0.74485,0.20124,-0.19665,-0.91321,0.35685
1.05614,0,0.00010,0.00011,-0.00044,-0.00019,0.00105,0.00173,0.00130,0.00011,-0.00003,-0.00030,0.00060,0.00032,0.00161,0.00013,-0.00011,-0.00078,-0.00109,-0.00103,0.06211,0.81818,0.36797,0.09519,0.80261,-0.35831,-0.31180,1.59086,0.35184,-0.06430,0.98033,0.07662,-0.44518,0.74494,0.20080,-0.19501,-0.91384,0.35611
1.11186,0,0.00105,-0.00045,-0.00070,0.00022,0.00031,-0.00122,0.00156,0.00034,-0.00020,-0.00022,0.00008,0.00031,0.00083,0.00000,0.00007,0.00021,0.00022,-0.00021,0.06470,0.81699,0.36583,0.09572,0.80312,-0.35851,-0.30598,1.59141,0.35133,-0.06387,0.98033,0.07755,-0.44115,0.74535,0.20089,-0.19376,-0.91404,0.35628
1.15369,0,0.00143,-0.00005,-0.00176,-0.00148,0.00213,0.00081,0.00210,-0.00024,0.00022,-0.00073,0.00040,0.00000,0.00106,0.00224,-0.00120,-0.00891,0.00969,-0.00056,0.06814,0.81658,0.36214,0.09543,0.80597,-0.35612,-0.30030,1.59148,0.35133,-0.06292,0.98032,0.07953,-0.43450,0.74905,0.19913,-0.20322,-0.91900,0.33782
1.20871,0,0.00177,-0.00071,-0.00273,0.00001,0.00297,-0.00373,0.00251,-0.00012,0.00020,-0.00025,0.00096,0.00018,0.00017,0.00102,-0.00082,-0.00158,0.00622,-0.00208,0.07386,0.81489,0.35370,0.09172,0.81072,-0.35797,-0.29100,1.59117,0.35146,-0.06318,0.98062,0.07941,-0.43319,0.75347,0.19592,-0.19845,-0.92348,0.32722
1.25067,0,0.00141,-0.00059,-0.00225,-0.00007,0.00386,0.00284,0.00295,-0.00028,0.00027,0.00000,0.00088,0.00092,0.00054,0.00011,-0.00076,0.00385,0.00216,-0.00521,0.07852,0.81248,0.34601,0.09336,0.81527,-0.35833,-0.28258,1.59035,0.35212,-0.06140,0.98110,0.08019,-0.43214,0.75475,0.19375,-0.19147,-0.92365,0.32929
1.30639,0,0.00171,-0.00096,-0.00231,-0.00089,0.00303,-0.00063,0.00337,-0.00071,0.00049,0.00010,0.00130,-0.00016,0.00025,0.00087,-0.00085,-0.00069,0.00475,-0.00513,0.08518,0.81024,0.33678,0.09539,0.82314,-0.35067,-0.26965,1.58767,0.35401,-0.06138,0.98197,0.07990,-0.43011,0.75620,0.19130,-0.16993,-0.92485,0.33491
1.36174,1,0.00098,-0.00234,-0.00218,0.00011,0.00251,-0.01055,0.00403,-0.00060,0.00101,0.00082,0.00212,-0.00065,0.00079,0.00031,-0.00024,0.00189,0.00174,-0.00342,0.08913,0.79544,0.33114,0.07558,0.81378,-0.39559,-0.25446,1.58448,0.35747,-0.06464,0.98315,0.07752,-0.42748,0.75799,0.18908,-0.15795,-0.92532,0.33616
1.40333,0,0.00030,0.00113,-0.00386,-0.01317,0.01609,0.00256,0.00544,0.00623,0.00023,-0.00455,0.00500,-0.00210,-0.00126,0.00173,0.00032,0.00208,0.00979,-0.00689,0.09205,0.79498,0.32149,0.07938,0.83516,-0.37230,-0.24205,1.59973,0.35792,-0.06770,0.98449,0.07291,-0.42775,0.76149,0.18885,-0.15026,-0.92514,0.33490
1.45885,0,0.00087,-0.00258,0.00153,0.01364,-0.00378,-0.01079,0.00342,-0.00009,0.00080,-0.00247,0.00240,-0.00218,0.00036,0.00361,0.00174,0.00201,0.00407,-0.00845,0.09000,0.78398,0.32411,0.00337,0.82940,-0.43588,-0.22771,1.59078,0.36263,-0.06735,0.98495,0.07233,-0.43277,0.77169,0.19772,-0.13073,-0.91514,0.35308
